"Group"	"Species"
"Metazoa"	"Homo_sapiens"
"Metazoa"	"Danio_rerio"
"Metazoa"	"Callorhinchus_milii"
"Metazoa"	"Petromyzon_marinus"
"Metazoa"	"Ciona_intestinalis"
"Metazoa"	"Oikopleura_dioica"
"Metazoa"	"Branchiostoma_belcheri"
"Metazoa"	"Branchiostoma_floridae"
"Metazoa"	"Saccoglossus_kowalevskii"
"Metazoa"	"Ptychodera_flava"
"Metazoa"	"Strongylocentrotus_purpuratus"
"Metazoa"	"Acanthaster_planci"
"Metazoa"	"Asterias_rubens"
"Metazoa"	"Drosophila_melanogaster"
"Metazoa"	"Aedes_aegypti"
"Metazoa"	"Apis_mellifera"
"Metazoa"	"Bombyx_mori"
"Metazoa"	"Tribolium_castaneum"
"Metazoa"	"Acyrthosiphon_pisum"
"Metazoa"	"Zootermopsis_nevadensis"
"Metazoa"	"Daphnia_pulex"
"Metazoa"	"Parhyale_hawaiensis"
"Metazoa"	"Lepeophtheirus_salmonis"
"Metazoa"	"Strigamia_maritima"
"Metazoa"	"Limulus_polyphemus"
"Metazoa"	"Tetranychus_urticae"
"Metazoa"	"Stegodyphus_mimosarum"
"Metazoa"	"Centruroides_sculpturatus"
"Metazoa"	"Hypsibius_dujardini"
"Metazoa"	"Ramazzottius_varieornatus"
"Metazoa"	"Caenorhabditis_elegans"
"Metazoa"	"Trichinella_spiralis"
"Metazoa"	"Romanomermis_culicivorax"
"Metazoa"	"Ascaris_suum"
"Metazoa"	"Steinernema_carpocapsae"
"Metazoa"	"Priapulus_caudatus"
"Metazoa"	"Halicryptus_spinulosus"
"Metazoa"	"Capitella_teleta"
"Metazoa"	"Owenia_fusiformis"
"Metazoa"	"Dimorphilus_gyrociliatus"
"Metazoa"	"Helobdella_robusta"
"Metazoa"	"Eisenia_andrei"
"Metazoa"	"Biomphalaria_glabrata"
"Metazoa"	"Lottia_gigantea"
"Metazoa"	"Scapharca_broughtonii"
"Metazoa"	"Crassostrea_gigas"
"Metazoa"	"Octopus_bimaculoides"
"Metazoa"	"Notospermus_geniculatus"
"Metazoa"	"Phoronis_australis"
"Metazoa"	"Lingula_anatina"
"Metazoa"	"Bugula_neritina"
"Metazoa"	"Echinoccocus_multilocularis"
"Metazoa"	"Schistosoma_mansoni"
"Metazoa"	"Macrostomum_lignano"
"Metazoa"	"Adineta_vaga"
"Metazoa"	"Brachionus_plicatilis"
"Metazoa"	"Paraspadella_gotoi"
"Metazoa"	"Dicyema_japonicum"
"Metazoa"	"Praesagittifera_naikaiensis"
"Metazoa"	"Hofstenia_miamia"
"Metazoa"	"Nematostella_vectensis"
"Metazoa"	"Aiptasia_spp"
"Metazoa"	"Acropora_digitifera"
"Metazoa"	"Galaxea_fascicularis"
"Metazoa"	"Fungia_spp"
"Metazoa"	"Goniastrea_aspera"
"Metazoa"	"Aurelia_aurita_GOLD"
"Metazoa"	"Cassiopea_xamachana"
"Metazoa"	"Rhopilema_esculentum"
"Metazoa"	"Sanderia_malayensis"
"Metazoa"	"Morbakka_virulenta"
"Metazoa"	"Physalia_utriculus"
"Metazoa"	"Clytia_hemisphaerica"
"Metazoa"	"Hydra_vulgaris"
"Metazoa"	"Hydra_viridis"
"Metazoa"	"Thelohanellus_kitauei"
"Metazoa"	"Hoilungia_hongkongensis"
"Metazoa"	"Trichoplax_adhaerens"
"Metazoa"	"Hormiphora_californensis"
"Metazoa"	"Pleurobrachia_bachei"
"Metazoa"	"Mnemiopsis_leidyi"
"Metazoa"	"Oscarella_carmela"
"Metazoa"	"Oopsacas_minuta"
"Metazoa"	"Tethya_wilhelma"
"Metazoa"	"Amphimedon_queenslandica"
"Metazoa"	"Sycon_ciliatum"
"Metazoa"	"Leucosolenia_complicata"
"Holozoa"	"Monosiga_brevicollis"
"Holozoa"	"Salpingoeca_rosetta"
"Holozoa"	"Capsaspora_owczarzaki"
"Holozoa"	"Ministeria_vibrans"
"Holozoa"	"Pigoraptor_chileana"
"Holozoa"	"Pigoraptor_veitnamica"
"Holozoa"	"Sphaeroforma_arctica"
"Holozoa"	"Creolimax_fragrantissima"
"Holozoa"	"Abeoforma_whisleri"
"Holozoa"	"Pirum_gemmata"
"Holozoa"	"Amoebidium_parasiticum_6frame"
"Holozoa"	"Ichthyophonus_hoferi"
"Holozoa"	"Chromosphaera_perkinsii"
"Holozoa"	"Sphaerothecum_destruens_6fr"
"Holozoa"	"Corallochytrium_limacisporum"
"Fungi"	"Schizosaccharomyces_pombe"
"Fungi"	"Tuber_melanosporum"
"Fungi"	"Neurospora_crassa"
"Fungi"	"Saccharomyces_cerevisiae"
"Fungi"	"Cryptococcus_neoformans"
"Fungi"	"Coprinopsis_cinerea"
"Fungi"	"Ustilago_maydis"
"Fungi"	"Mortierella_verticillata"
"Fungi"	"Phycomyces_blakesleeanus"
"Fungi"	"Mucor_circinelloides"
"Fungi"	"Rhizopus_oryzae"
"Fungi"	"Umbelopsis_ramanniana"
"Fungi"	"Allomyces_macrogynus"
"Fungi"	"Catenaria_anguillulae"
"Fungi"	"Batrachochytrium_dendrobatidis"
"Fungi"	"Spizellomyces_punctatus"
"Fungi"	"Rhizophagus_irregularis"
"Fungi"	"Coemansia_reversa"
"Fungi"	"Conidiobolus_coronatus"
"Fungi"	"Gonapodya_prolifera"
"Fungi"	"Piromyces_spE2"
"Fungi"	"Amoeboaphelidium_protococcarum"
"Fungi"	"Encephalitozoon_cuniculi"
"Fungi"	"Nematocida_parisii"
"Fungi"	"Paramicrosporidium_saccamoebae"
"Fungi"	"Rozella_allomycis"
"Holomycota"	"Parvularia_atlantis"
"Holomycota"	"Fonticula_alba"
"Apusozoa"	"Thecamonas_trahens"
"Breviatea"	"Pygsuia_biforma"
"Amoebozoa"	"Dictyostelium_discoideum"
"Amoebozoa"	"Polysphondylium_pallidum"
"Amoebozoa"	"Enthamoeba_histolytica"
"Amoebozoa"	"Acanthamoeba_castellanii"
"CRuMs"	"Rigifila_ramosa"
"CRuMs"	"Diphylleia_rotans"
"CRuMs"	"Mantamonas_plastica"
"Ancyromonadida"	"Nutomonas_longa"
"Ancyromonadida"	"Ancyromonas_sigmoides"
"Ancyromonadida"	"Fabomonas_tropica"
